plot,year,range,column,type,rep,treatment,species,accession,date,mean_tgi,median_tgi,q1_tgi,q3_tgi,var_tgi,sd_tgi
5501,2021,55,01,border,,WL,sorghum bicolor,BTx642,07-9-2021,6.5547855713968195,2.5500000000000114,1.1599999999999966,7.599999999999994,77.90868952328972,8.826589914756985
5502,2021,55,02,border,,WL,sorghum bicolor,BTx642,07-9-2021,8.296832108801,4.990000000000009,2.769999999999996,10.230000000000004,78.29640442771824,8.848525551057545
5503,2021,55,03,border,,WL,sorghum bicolor,BTx642,07-9-2021,11.177990752237015,7.549999999999997,5.3799999999999955,12.319999999999997,95.30257396523538,9.76230372223869
5504,2021,55,04,border,,WL,sorghum bicolor,BTx642,07-9-2021,13.16174387266384,8.159999999999997,5.769999999999996,19.450000000000003,123.61970496040723,11.118439861797484
5505,2021,55,05,border,,WL,sorghum bicolor,BTx642,07-9-2021,11.619496938973379,7.370000000000001,5.3799999999999955,14.11,111.12569914802106,10.541617482531846
5506,2021,55,06,border,,WL,sorghum bicolor,BTx642,07-9-2021,14.318406494582396,9.599999999999994,5.159999999999997,22.760000000000005,138.3281538697531,11.761298987346299
5507,2021,55,07,border,,WL,sorghum bicolor,BTx642,07-9-2021,11.875715514737712,8.379999999999995,5.260000000000005,14.260000000000005,97.996623258389,9.899324383935955
5508,2021,55,08,border,,WL,sorghum bicolor,BTx642,07-9-2021,14.175211370643256,9.670000000000002,4.450000000000003,23.08,144.7593733450039,12.031598952134496
5509,2021,55,09,border,,WL,sorghum bicolor,BTx642,07-9-2021,12.064621218961623,8.159999999999997,5.719999999999999,15.440000000000001,100.29202792119098,10.014590751557998
5510,2021,55,10,border,,WL,sorghum bicolor,BTx642,07-9-2021,12.462809112651072,8.5,5.719999999999999,16.35000000000001,111.7837462622586,10.57278327888445
5511,2021,55,11,border,,WL,sorghum bicolor,BTx642,07-9-2021,12.820395375784846,8.5,6.5,15.83,119.88135131636652,10.949034264096834
5512,2021,55,12,border,,WL,sorghum bicolor,BTx642,07-9-2021,14.995829076879234,10.280000000000001,6.25,23.32,144.51100000261553,12.02127281125487
5513,2021,55,13,border,,WL,sorghum bicolor,BTx642,07-9-2021,15.421738395569637,10.61,5.939999999999998,24.81,149.48108843790277,12.226245884894626
5514,2021,55,14,border,,WL,sorghum bicolor,BTx642,07-9-2021,14.341165379633727,10.079999999999998,5.149999999999999,22.980000000000004,134.66278699137305,11.604429628007274
5515,2021,55,15,border,,WL,sorghum bicolor,BTx642,07-9-2021,13.796989600021725,9.25,5.3799999999999955,21.39,129.4036780583544,11.375573746337123
5516,2021,55,16,border,,WL,sorghum bicolor,BTx642,07-9-2021,15.350080036817992,12.11,6.830000000000002,22.709999999999997,124.15820829298364,11.142630223290354
