plot,year,range,column,type,rep,treatment,species,accession,date,mean_tgi,median_tgi,q1_tgi,q3_tgi,var_tgi,sd_tgi
5501,2021,55,01,border,,WL,sorghum bicolor,BTx642,07-21-2021,7.28369145173812,3.009999999999991,1.6200000000000045,9.86,77.68410639712091,8.813858768843582
5502,2021,55,02,border,,WL,sorghum bicolor,BTx642,07-21-2021,9.983210559403858,5.100000000000001,2.1299999999999955,17.339999999999996,99.72945817674433,9.986463747330399
5503,2021,55,03,border,,WL,sorghum bicolor,BTx642,07-21-2021,10.01618153565819,4.739999999999995,2.0800000000000054,17.42,107.1739007580256,10.352482830607622
5504,2021,55,04,border,,WL,sorghum bicolor,BTx642,07-21-2021,12.962038495951814,10.71,3.569999999999993,20.950000000000003,106.00201684381409,10.295728087115261
5505,2021,55,05,border,,WL,sorghum bicolor,BTx642,07-21-2021,11.439769413302155,7.1299999999999955,2.4899999999999984,19.83,112.61389113776453,10.611969239390234
5506,2021,55,06,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.93692431255105,13.490000000000009,3.9099999999999966,24.560000000000002,127.50757369560546,11.291925154534344
5507,2021,55,07,border,,WL,sorghum bicolor,BTx642,07-21-2021,10.69842875433242,5.710000000000001,2.1300000000000097,18.560000000000002,112.17853675251551,10.591436954092467
5508,2021,55,08,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.588316509207727,12.440000000000005,4.05,24.000000000000004,128.59859021572882,11.340131842960593
5509,2021,55,09,border,,WL,sorghum bicolor,BTx642,07-21-2021,11.540855987758112,6.5600000000000005,2.539999999999999,20.340000000000003,117.27572903447492,10.829391905110597
5510,2021,55,10,border,,WL,sorghum bicolor,BTx642,07-21-2021,11.27818520732951,5.83,3.299999999999997,19.660000000000004,109.74370324001565,10.47586288761053
5511,2021,55,11,border,,WL,sorghum bicolor,BTx642,07-21-2021,11.134455045182744,5.710000000000001,3.1999999999999886,18.730000000000004,110.73381310942759,10.523013499441479
5512,2021,55,12,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.385161090806859,11.439999999999998,4.079999999999998,24.17,126.53837352211121,11.248927660986679
5513,2021,55,13,border,,WL,sorghum bicolor,BTx642,07-21-2021,15.041138915705504,12.219999999999999,4.859999999999999,24.069999999999993,129.01695791683372,11.358563197730323
5514,2021,55,14,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.691463027643518,10.780000000000001,4.810000000000002,24.39,133.85173178583054,11.569430918840846
5515,2021,55,15,border,,WL,sorghum bicolor,BTx642,07-21-2021,13.221562922220928,8.610000000000001,4.270000000000003,21.949999999999996,122.45748406854575,11.066050969905469
5516,2021,55,16,border,,WL,sorghum bicolor,BTx642,07-21-2021,15.482422008238656,13.170000000000002,5.739999999999995,24.609999999999992,124.91986803044684,11.176755702369396
5517,2021,55,17,border,,WL,sorghum bicolor,BTx642,07-21-2021,13.509202611750762,9.030000000000001,4.32,22.510000000000005,128.5759754054859,11.339134685040385
5518,2021,55,18,border,,WL,sorghum bicolor,BTx642,07-21-2021,15.045453642873738,11.489999999999998,5.469999999999999,24.340000000000003,132.23280580035532,11.499252401802272
5519,2021,55,19,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.368353696817499,10.320000000000007,5.559999999999999,23.070000000000007,117.4785367578206,10.838751623587497
5520,2021,55,20,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.387412409967057,10.469999999999999,4.980000000000018,23.39,127.84635492499703,11.306916242946041
5521,2021,55,21,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.417261531995377,10.370000000000005,5.219999999999999,23.39,129.4410398329355,11.377215820794449
5522,2021,55,22,border,,WL,sorghum bicolor,BTx642,07-21-2021,12.022010468423206,8.180000000000007,3.8599999999999994,19.120000000000005,110.44140041760929,10.509110353289154
5523,2021,55,23,border,,WL,sorghum bicolor,BTx642,07-21-2021,14.512863895225749,11.420000000000002,5.149999999999999,22.880000000000003,123.29186982078551,11.103687217351968
5524,2021,55,24,border,,WL,sorghum bicolor,BTx642,07-21-2021,11.635122372720353,7.010000000000005,4.010000000000005,18.000000000000007,110.73436620720707,10.523039779797807
